wiki,year,pagetitle,pageviews,desc_en,desc_ar,desc_de,desc_es,desc_fr,desc_ru,desc_zh,file_name,image_page,image_file,artist,license,licenseurl,daily_views
eswiki,2017,Lali_Espósito,14164715,"Argentinian actress, singer, dancer and model",ممثلة ومغنية وراقصة وعارضة أزياء أرجنتينية,"Argentinische Schauspielerin, Sängerin, Tänzerin und Model","actriz, cantante y bailarina argentina",actrice et chanteuse argentine,"Аргентинская актриса, певица, танцовщица и модель",阿根廷女演員，歌手，舞蹈演員和模特兒,File:Lali_2018.png,https://commons.wikimedia.org/wiki/File:Lali_2018.png,https://upload.wikimedia.org/wikipedia/commons/8/81/Lali_2018.png,Fernando Radl,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,30748_51983_36841_45724_92316_76635_72163_57303_36254_94209_36930_51639_122303_66035_23010_83074_69479_58463_70302_49618_72531_47464_75369_33007_67002_51129_54196_33613_13699_36434_55822_90953_89190_59408_28211_17075_21808_49880_55965_69111_75874_22001_58711_55552_36236_39171_107527_86830_85519_53846_26131_60708_82531_60651_57184_22798_101413_33046_29528_47996_23114_30416_24053_24654_26983_22914_21404_68835_91459_87979_10656_13809_21680_39292_51458_30321_29908_23088_15819_20988_26978_26640_22531_17309_15094_18293_123286_231361_283699_157547_120796_177687_163256_139235_56168_75758_49563_52350_86404_44838_54233_68411_72648_75170_32278_45461_89472_50786_84821_59888_66480_53961_52243_108153_122889_41558_26262_81405_37441_20984_23427_101171_97781_60442_100082_95793_122968_84762_47850_38217_120040_55785_34837_46051_67228_46973_127542_43529_112558_142371_165268_86678_133940_34219_26331_22279_23296_8814_33684_45483_33094_69764_42755_48001_127402_150210_152544_119722_240021_59500_151930_87526_160962_144851_132562_89043_63975_21706_108866_114112_146525_122857_35067_46920_7255_23970_23146_22703_19433_17748_24547_21776_6916_18317_21111_19206_28117_14925_6467_12865_14562_10633_17006_5923_21201_21732_7794_10700_17585_20455_23577_40932_22193_19566_24451_18801_25345_12717_18035_19993_13031_8797_7553_5137_5054_3630_47752_9765_27096_67882_8127_16993_37534_62186_4372_10087_23010_11717_9849_48939_54719_60943_6004_6564_11585_13278_11780_5514_2461_10955_14936_8079_8900_11564_2941_1692_9626_8732_8740_5741_12318_6264_4610_10291_26485_8849_11320_6412_3578_2671_6797_3670_4234_3381_3998_2118_2569_6470_5804_5898_19692_6452_10005_2377_19201_6131_12584_8859_4265_29889_1967_3880_5425_4224_4032_3054_1190_1214_1085_3313_4862_3722_4257_1192_1352_5350_2927_2997_4007_3337_824_2940_4444_1103_7999_4135_3299_1244_1178_13987_7115_5754_6576_913_1766_3212_59846_6042_3538_4234_5093_3393_1005_1285_47781_80723_47433_60008_41841_6149_7569_9961_15619_5209_9454_59767_30203_4303_1631_5772_2417_1289_1438_1157_2689_3406_6084_2129_6824_2555_4445_1184_4501_8564_5108_5050_1635_697_1244_3238_2998_3891_2657_1908_6082
zhwiki,2017,Wiki,9520718,type of website that visitors can edit,نوع من مواقع الويب الذي يمكن للزوار تعديله,"Art der Website, die Besucher bearbeiten können",sitio web cuyas páginas pueden ser editadas por múltiples voluntarios a través del navegador web,type de site web collaboratif,"веб-сайт, содержимое которого могут редактировать сами пользователи",訪問者可以編輯的網站類型,File:Ward_Cunningham_-_Commons-1.jpg,https://commons.wikimedia.org/wiki/File:Ward_Cunningham_-_Commons-1.jpg,https://upload.wikimedia.org/wikipedia/commons/8/88/Ward_Cunningham_-_Commons-1.jpg,Carrigg Photography for the Wikimedia Foundation,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,4705_5288_5699_6449_5590_5703_5081_5398_5659_5931_5746_5401_3956_3874_4595_5237_4911_5067_5053_4647_4114_4286_5279_4877_4847_4343_3682_3513_3729_4093_4617_4855_5146_5303_4697_4830_5684_5527_5387_5466_4836_4172_4695_5379_5287_5295_5239_4749_4828_4545_5490_5264_5898_5509_5096_4519_4739_5166_5031_5610_5917_5322_4425_5064_5665_6095_6038_5987_5836_4755_5206_5872_5693_5383_5178_5296_4552_4950_5748_5752_5594_5614_5404_5015_5047_5739_5769_5484_5936_5377_4382_4360_4681_4862_5439_5610_5465_4665_5203_5467_5359_5207_5285_4987_4558_4921_5709_5725_5468_6098_5343_4870_5086_6094_5548_5994_5680_5265_4442_4769_5183_5480_5414_5375_5590_4862_5019_5992_5653_5821_5709_5021_4781_4875_5915_5654_5650_5298_5304_4501_4830_5879_5800_5579_5385_4946_4369_4737_4957_5134_5511_5702_5583_5383_5762_5688_5728_5021_5258_4841_4650_4847_5863_5193_5414_5133_5013_4580_4884_5583_10369_11866_11375_12632_11932_11986_13016_16248_19036_23111_28959_28881_28932_26550_30740_32309_38720_41222_37797_37254_43425_49777_54439_58277_59080_58386_58454_59533_59319_60461_58784_60023_59388_59555_59889_61566_62083_61947_62290_62195_62595_63601_66137_66665_66041_66176_65735_65508_65477_65015_64977_64906_64582_63844_64157_64892_60968_50612_50496_49022_46317_46746_49543_50788_50827_50580_50506_49790_50211_50336_49318_48961_49291_49110_48561_48770_49485_50103_49454_49487_49187_48668_48723_49612_49638_49856_49930_49650_49046_49182_50275_50117_50236_50063_49507_48955_49043_50039_24174_20583_19939_20016_19952_19491_20438_20352_19892_20354_20274_19435_19560_21394_23315_25306_24961_24707_23965_24429_26680_26611_26298_25947_25789_25148_25132_26196_25826_26387_25962_25679_24457_25069_26074_28515_29605_32805_35576_35037_35305_37160_39184_42886_48236_48937_47508_48062_48890_51420_52158_51004_41073_50464_50469_55055_59664_60197_60800_63690_63115_63496_68022_68750_68843_72305_73204_71075_71351_76572_77993_78196_77977_80543_79962_80528_82100_86787_89996_90301_33462_8424_8704_11450_12712_16288_16475_18762_17808_18100_23411_30025_30534_30632_31465_30450_30068
arwiki,2017,أرطغرل,1552478,"Ottoman ruler, father of Osman I",قائد عثماني، ووالد عثمان الأول,"Osmanischer Herrscher, Vater von Osman I.","Gobernante otomano, padre de Osman I","Dirigeant ottoman, père d'Osman I ","тюркский правитель, отец основателя Османской династии Османа I",奧斯曼帝國統治者，奧斯曼一世之父,File:Ertugrul-gazi-1.jpg,https://commons.wikimedia.org/wiki/File:Ertugrul-gazi-1.jpg,https://upload.wikimedia.org/wikipedia/commons/9/93/Ertugrul-gazi-1.jpg,Эртугрул Гази,Public domain,,3388_3314_3079_3481_3450_3877_3649_3449_3908_4047_4460_4719_5648_4919_4415_5013_5140_5288_5565_5928_5597_5117_5157_4896_4596_4300_4397_4149_4021_3927_3961_3957_4207_4522_4644_5254_5551_4907_5394_5348_5180_5098_5124_4753_4437_4752_4978_5570_5893_5531_5418_5719_5759_5835_6063_5726_5381_5579_6206_5216_5068_5321_5246_4895_4688_4392_4599_5262_5727_5631_5515_5264_5766_5968_6136_7019_6232_5968_5857_5838_6294_6515_6139_5843_5275_5107_4637_4346_4869_5059_4409_4742_4615_4312_4226_5025_4976_4416_4452_4554_4214_4786_5576_5304_4634_4675_4830_4685_4856_4719_4634_3914_3865_3950_3880_4014_4465_4506_3931_3699_4356_3597_4929_4376_3984_4156_4264_4926_4785_4863_5771_5919_5479_4749_4684_4449_4142_8684_7809_5896_5066_4408_4531_4287_4290_3819_3763_3781_3873_3861_4171_4187_3885_3874_3977_4196_3359_3570_4397_4466_4432_4018_4504_4736_4387_7908_8205_7262_5574_5235_5218_4752_4366_4170_3924_3775_4139_4011_4064_4037_4107_4121_4118_3923_4083_3984_4206_4457_4335_4314_4216_4182_3946_4061_4655_4397_4525_4338_4536_4493_4640_4161_4202_4435_3939_4013_4145_3990_4303_4541_4221_4275_4263_4061_4252_4357_4616_4176_4096_4133_4313_4255_4338_3888_3910_3839_3657_3272_3590_3843_3858_3339_3474_3349_3056_3098_3782_3974_3739_3501_5294_3580_2743_2265_2908_3012_2817_2854_2778_2849_2965_2935_2769_2654_2769_3212_2905_2941_2687_2531_2505_2522_2411_2666_2720_2463_2436_2444_2366_2236_2614_2607_2498_2673_2695_2810_2515_2521_4147_4314_3203_2976_2773_2742_2689_2641_2719_2910_3081_3131_3107_2861_3145_3080_2922_2933_2872_3407_5312_5275_3770_3348_3148_2963_18102_3400_3630_3169_2695_2783_2757_2962_3072_3091_3039_3024_3187_2829_3121_3786_4427_3515_3746_3532_3377_3387_4526_4716_4042_4663_3806_3416_3560_5578_5188_3922_3743_3680_3283_3394_3650_4102_3739_3403_3418_3572_3424_3584_3670_3819_5861_3569_3647_4055_4913_4846_4244_4306_4450_4162_4423_5036_5184_4478_3752
dewiki,2017,Nekrolog_2017,6830310,Wikipedia list article about people who died in 2017,قائمة ويكيبيديا للأشخاص الذين توفوا في عام 2017,"Wikipedia-Listenartikel über Menschen, die im Jahr 2017 gestorben sind",Lista de Wikipedia sobre personas que murieron en 2017,liste d'un projet Wikimedia,"статья-список в проекте Викимедиа о людях, умерших в 2017 году",維基百科有關2017年死亡者的列表文章,,,,,,,19284_22561_21471_20657_20970_18206_14539_16190_26338_22282_19305_20956_18824_14942_14945_25380_20902_21069_20014_18746_13751_14936_24664_20845_21150_19592_18606_16683_15660_25220_19822_21331_19904_19134_14217_15243_25190_20394_22096_22876_21302_16600_17682_25046_28064_23440_20605_19736_15472_16128_23891_22481_21416_21372_19736_14505_16258_25035_23955_21907_21178_17453_13171_14850_22121_21020_18741_17853_15983_11401_14604_22830_21370_19627_17448_17222_13305_13759_25268_19968_19297_18731_17711_12870_13546_21711_23262_20813_20353_17080_12630_13388_20066_17781_17856_17815_16729_12117_12282_21803_18484_20452_18174_13423_12131_13170_15062_23458_19940_18541_18620_13957_15570_26204_22960_20195_18202_17034_11967_12773_14780_22997_21624_25888_21130_14457_15917_23869_20353_22526_20771_18325_12093_12580_20438_20530_18542_20311_17152_14977_14906_24613_24153_21295_13415_18344_13927_14831_25398_21740_18997_20161_17446_12878_13421_14595_25167_19823_19814_19258_13956_13876_21434_18752_18489_15257_18650_13165_15111_24943_21749_22157_22666_18534_13422_13963_20424_19092_21121_19254_17411_12802_14436_22687_20154_20276_17982_16352_12489_15216_21565_18309_17682_17485_16059_11922_14170_26259_18504_19118_23378_20452_17055_17585_26939_23697_21901_21787_17912_12897_13967_23231_20181_18972_19130_17709_12722_14205_22181_20288_20902_20393_20832_12970_13218_20508_19292_19644_18655_17060_12925_14678_23832_21444_19110_18759_19078_13724_14588_24725_19273_19748_19538_19188_13250_13811_21249_18567_18772_17502_16692_15293_14243_21667_20801_19517_22399_17821_13528_13845_22878_18840_18495_17480_15809_12150_12535_20811_18773_17885_21210_22494_15861_15756_20993_18207_22773_19935_20222_15403_16873_28351_22842_20239_18825_17022_12207_13231_20828_19533_18594_20971_17714_14280_14563_24141_20080_20696_17885_19316_13438_14764_18294_15851_19719_22236_18431_13057_14454_21871_21725_20109_21810_20158_14303_15604_24921_25225_21566_20821_20770_17953_17257_28626_22957_23766_22544_17621_13804_16223_23263_20715_19980_18879_18212_13918_14757_22927_20791_21178_23766_19338_16200_15784_23608_22512_20488_19445_17274_13088_15698_24484_21162_20498_18703_18158_16019_14137_16673_18396_22338_20870_18735_16208_15108
ruwiki,2018,Чемпионат_мира_по_футболу_2018,7341231,"21st FIFA World Cup, held in Russia in 2018",النسخة الحادية والعشرون من بطولة كأس العالم والتي عُقدت في روسيا,"21. FIFA-Weltmeisterschaft, die 2018 in Russland stattfand",XXI edición de la Copa Mundial de la FIFA,21ème édition de la Coupe du monde de football,"21-й чемпионат мира по футболу ФИФА, проведённый в России в 2018 году",2018年在俄羅斯舉行的第21屆FIFA世界杯,File:FIFA_World_Cup_2018_Logo.svg,https://ru.wikipedia.org/wiki/%D0%A4%D0%B0%D0%B9%D0%BB:FIFA_World_Cup_2018_Logo.svg,https://upload.wikimedia.org/wikipedia/ru/4/49/FIFA_World_Cup_2018_Logo.svg,FIFA,Добросовестное использование,,5678_5985_6058_5910_5683_6101_6433_6449_8047_7666_8122_8440_6735_7606_8276_8526_8574_8531_8057_7063_7616_9638_11973_10489_9970_9575_7871_8618_10056_10727_9745_10917_10054_8330_9042_9157_9268_9458_9997_10267_9186_8986_9042_9817_9434_9499_8771_7692_8493_8882_9579_9591_9061_8313_8575_14933_12513_11551_11559_9488_10667_8948_8949_9345_14539_9139_8259_8706_9998_11274_11965_17615_14625_12613_11153_9906_9257_11587_14661_13240_13694_18419_14280_11640_13408_16199_13803_11533_11311_9178_11087_12045_13434_12066_11651_11098_9864_10673_12360_13582_13944_12965_12169_10189_13041_14497_15256_18164_13631_12923_12014_12781_14845_14416_17660_15333_14597_14878_14867_14234_15745_16201_21444_19211_15235_18429_18715_17197_12674_22038_19949_16032_18627_24827_24628_23973_24591_23364_20666_23318_31705_32510_32163_31182_31221_35441_35416_38173_36348_38424_34491_35197_34224_40149_49996_51511_46728_47579_51065_54291_54406_59037_70768_119451_232458_191162_164533_147533_128896_170304_162922_125373_115162_106320_119873_162482_139007_159838_150487_78590_97319_195963_155695_119522_73298_47190_88285_133689_81648_51520_63048_76889_57184_38593_68284_161967_84031_32150_22068_16243_13755_12032_10534_10011_8743_8134_7431_6964_6535_6781_6572_5875_5310_4930_4493_4500_4485_4858_4413_4271_4196_3798_3649_3762_3856_3807_3974_3794_3384_3278_3278_3295_3401_3214_3029_2949_2816_2910_3351_3034_2955_3088_3269_2697_2969_2992_3018_3341_3662_4239_3996_3697_4153_4165_3426_3177_2911_2658_2929_2688_2914_2708_2549_2441_2430_2883_3098_3691_2778_3061_2811_2578_2630_2566_3073_3075_2664_2248_2279_2470_2501_2660_2819_3834_3237_2834_3583_3213_3901_3099_2420_2450_2360_2752_2543_2604_2278_2461_2238_2170_2470_2339_2222_2146_2194_2100_2317_2545_2636_2226_2396_2125_2155_2283_2312_2691_2229_2373_3584_3223_2550_3315_2868_3235_2713_2296_2143_2171_2005_1876_2003_2279_2053_2063_2091_2961_2884_3414_2460_2074_2070_2024_2242_2119_2231_2431_2203_2008_2052_2495_2163_2194_2398_2214_2311_2255_2435_2229_2191_2262_2144_2168_2214_2866_3242
enwiki,2018,2018_FIFA_World_Cup,34993993,"21st FIFA World Cup, held in Russia in 2018",النسخة الحادية والعشرون من بطولة كأس العالم والتي عُقدت في روسيا,"21. FIFA-Weltmeisterschaft, die 2018 in Russland stattfand",XXI edición de la Copa Mundial de la FIFA,21ème édition de la Coupe du monde de football,"21-й чемпионат мира по футболу ФИФА, проведённый в России в 2018 году",2018年在俄羅斯舉行的第21屆FIFA世界杯,File:2018_FIFA_World_Cup.svg,https://en.wikipedia.org/wiki/File:2018_FIFA_World_Cup.svg,https://upload.wikimedia.org/wikipedia/en/6/67/2018_FIFA_World_Cup.svg,,Fair use,//en.wikipedia.org/wiki/File:2018_FIFA_World_Cup.svg,22790_23271_22217_21517_21199_19879_22695_21939_21145_20896_20485_19056_21399_23732_23225_21482_21387_20326_19749_20178_22321_24716_23624_25026_21937_20514_21861_22838_22439_22068_20365_21311_19572_21258_25414_37525_23170_21997_22988_25969_31408_29509_27232_26073_25278_24378_23647_25747_26679_26967_27916_26891_26761_24356_27058_33436_30926_25997_25915_24397_22784_24896_26638_24638_34164_29385_24948_25318_25936_27332_29032_33153_30959_31272_28956_28635_30010_30574_33206_36012_40006_51747_51483_38475_42615_57199_49716_34260_29237_26867_28843_27566_28275_27871_26143_24091_24097_26386_26673_26614_28365_29305_27645_26613_29901_30381_31195_32185_27751_26672_26711_29377_31617_35075_40366_35671_30612_27309_30390_35212_38595_40669_38651_36207_34752_40551_42668_42449_42528_42144_44771_43598_50741_67827_77445_82187_76127_75570_67894_69435_92698_88220_81859_79926_75064_97402_96517_107142_111254_109250_103507_103884_112937_125246_147393_134278_132223_141654_137902_134611_150929_190287_209707_350914_824427_716029_619905_639391_682715_564738_542908_611781_614414_617930_749768_733748_731415_965944_878015_395179_539015_671027_624746_610709_375796_243351_551750_649169_341911_259341_423664_501594_314388_203894_418963_975990_432112_172246_116918_95260_91358_75807_74547_71713_63925_58718_57452_55744_61586_67900_67914_61389_63393_55729_55938_56551_53811_65150_66250_51074_49244_47190_46386_48583_54673_51071_53081_48519_59558_57255_57467_60825_58779_60983_63172_73392_57332_64568_65163_40980_41967_42952_41860_39893_34984_39473_40696_41956_52677_43804_56719_58515_44196_43342_46421_38710_43838_33928_34338_49200_45211_36836_40252_38935_36859_33975_43573_38868_42543_40108_46793_38619_62910_55037_40970_41399_43922_50612_47954_54748_57528_48694_39916_44960_43317_52839_49831_47455_49317_51390_44535_42885_38973_40570_48897_41752_36853_46172_41986_34332_50290_54123_45990_37734_48501_46408_51038_44410_49662_50450_43516_53568_49324_56378_52478_48004_46431_48869_48289_46287_50258_57880_55157_51779_45152_49101_46705_47884_44344_46493_48730_43260_55588_46270_40147_40327_52130_49735_48210_43958_43166_36057_32471_36508_37989_31669_34430_30081_32720_35331_36354_41943_41357_41245_51158_43271_54760_60794_49975_50458_63040_66793_59163_53586_54671
frwiki,2018,France,8527671,sovereign state with mainland in Europe and several overseas territories,دولة ذات سيادة تقع في أوروبا وتضم عدة أقاليم فيما وراء البحار,souveräner Staat mit Festland in Europa und mehreren überseeischen Territorien,país de Europa,pays transcontinental dont le territoire métropolitain est situé en Europe occidentale,государство в Западной Европе,西歐國家，並同時擁有多個海外領土,File:Mapadefrancia.svg,https://commons.wikimedia.org/wiki/File:Mapadefrancia.svg,https://upload.wikimedia.org/wikipedia/commons/6/67/Mapadefrancia.svg,Monsieur Fou,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,22964_23865_23851_23693_23952_23729_26896_25182_23883_23749_23606_26039_22983_24804_24505_25098_24501_24313_23712_24325_25608_25029_24493_24768_24412_23724_23858_25366_24151_23996_23865_23465_22705_23213_25776_24881_24807_24570_25107_26643_25161_26905_25232_24755_23721_24089_23191_23501_25295_24972_24596_24265_24409_23630_23388_25123_24230_24020_23817_23491_23580_23413_25508_24304_23748_23314_23023_23061_23165_24311_24261_24044_23717_23456_23133_23579_25233_24280_24766_24168_23631_24027_23633_24445_24548_24553_24066_23213_23242_22791_23960_24514_23385_26257_23527_22703_22505_23800_23628_23330_23376_23591_22558_22967_22987_23915_23696_23250_22852_22734_22329_23497_23801_23324_23127_22939_23054_22566_24011_23436_23994_23476_23518_22694_22358_23302_23032_26874_24003_24018_23400_23614_24844_24038_23495_23495_22762_22076_22648_22838_24150_23241_23453_23206_22572_22287_23360_24057_23951_23316_23152_22843_22247_23247_23201_23705_23114_23125_22641_22688_23924_23449_23565_23050_23009_22643_24666_24068_23232_22698_22596_23634_22691_22369_23544_22820_23341_22332_22087_21544_24720_24509_23017_23531_22029_22509_27023_24181_23421_22842_26484_27732_24980_23415_24680_31715_28002_24416_24587_22825_22635_22645_22747_22748_22465_22253_22309_21763_22165_22782_25548_22222_22253_22005_22750_23080_23669_22926_23258_22885_23212_22906_23224_24199_23008_22374_22659_22025_23204_23243_23220_22366_22376_22277_25174_22537_22502_22924_22174_22064_22372_23102_21734_22117_22118_21581_22692_22728_22617_21908_22023_23685_22424_24678_22384_22437_21901_21992_22703_22308_19541_15177_14814_15204_10844_16040_15731_15396_15132_15189_14779_14600_15564_15576_15418_15343_14949_14970_15092_17060_16118_16059_20573_23210_22479_23106_23905_23525_23741_23359_22571_22393_22023_22851_25211_23038_22674_22223_22528_22264_23493_24405_23069_22727_23617_23667_24094_25596_24274_23903_24426_26759_22840_23770_25410_24258_24112_37399_41964_53004_24453_24661_23927_24725_24159_26567_25081_24627_26255_25704_25553_24912_24795_24137_28404_26362_25836_25009_24800_24560_23706_24330_25175_25265_25024_24933_24229_23590_26710_25294_24011_23584_26157_22737_22116_22296_22709_22048_23779_22377_22913_22514_22889_23590_22206
eswiki,2018,La_casa_de_papel,6028993,Spanish television crime series,مسلسل جريمة تلفزيوني إسباني,Spanische Fernsehkrimiserie,serie de televisión española,Série télévisée espagnole,Испанский сериал с 2017 года,2017年西班牙犯罪電視節目,File:Casadepapelwordmark.png,https://commons.wikimedia.org/wiki/File:Casadepapelwordmark.png,https://upload.wikimedia.org/wikipedia/commons/f/f7/Casadepapelwordmark.png,Atresmedia,Public domain,,10094_15273_14262_12863_11526_11356_13443_14525_13262_12611_12911_12143_13590_18003_21137_17864_17554_16835_15627_16073_20037_22168_20612_20615_20068_20175_21375_24669_26781_26569_24660_22921_21632_22641_26847_30692_30630_28744_28965_28211_28973_34153_39670_35437_30846_28666_29570_30979_38519_40628_35316_32030_29824_33126_32179_41237_48122_43602_37013_31968_32741_35406_41456_37117_34401_30271_27092_27215_29222_35580_33848_26872_24536_22422_22141_26158_32763_32638_27099_24059_21923_20694_23719_29566_28678_22519_21970_25286_28740_31665_33413_34605_26925_23174_25029_38321_55238_71384_72317_58131_56992_50640_50304_52356_65578_61534_52481_74498_59470_49930_51069_64927_58084_43627_38822_34697_32373_35880_46685_47443_45907_40557_27974_23119_25911_31650_29969_23970_22542_20143_18746_19770_24999_25559_21569_18714_18514_15927_15697_19805_20493_16978_14510_13153_12302_13093_17084_16666_13060_11691_11006_10319_11876_15055_14198_11787_10769_10120_9924_10401_13832_13432_11477_9904_9342_7846_9273_10807_10105_8442_8186_7723_7520_7536_9853_9792_7996_7467_7928_7380_7361_8956_9266_8137_9812_8275_7484_7595_8866_9911_7836_7110_7872_7561_7570_9195_9660_8948_8312_7965_7697_7937_10066_10064_9377_8592_7905_7299_7798_9709_9813_8077_7456_7153_6818_6846_8396_8523_7828_7090_6954_6287_6357_7614_7752_6552_6541_6408_6150_6296_7394_7873_6886_6259_6242_5844_5994_7269_7428_6301_6227_6217_5598_5842_6997_7423_6486_6342_5706_5184_5655_6973_6717_5842_5779_5257_5021_5598_6408_6389_5412_5240_5165_4894_5091_6384_6423_5448_4793_4713_4738_4558_5694_5124_4572_4645_4406_5463_7393_8962_8547_8046_7103_6806_6984_7695_9309_9448_8263_7127_6828_6558_7039_8981_8290_8016_8013_13003_11887_9889_10596_9157_8146_7544_8403_8149_8763_10019_9141_7060_6515_6549_6416_6607_7847_7365_6199_5775_5680_4935_5522_6740_6420_13791_8547_6637_6571_7079_8290_9094_6846_5986_5489_5150_5613_6712_5866_5240_4961_5626_4918_5657_6297_5382_4843_4961_4679_4511_5294_6188_5071_4791_4600_4097_3965_4338_5026_4300_5014_6220_6043_5689_6108_6644_5249
zhwiki,2018,延禧攻略,10585529,television series,مسلسل تلفزيوني,Fernsehserie,serie de televisión,série télévisée,телесериал,2018年中國古裝電視劇,File:延禧攻略.jpg,https://zh.wikipedia.org/wiki/File:%E5%BB%B6%E7%A6%A7%E6%94%BB%E7%95%A5.jpg,https://upload.wikimedia.org/wikipedia/zh/a/a5/%E5%BB%B6%E7%A6%A7%E6%94%BB%E7%95%A5.jpg,"作者
",合理使用,,0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_81_91_89_74_83_79_80_106_0_0_0_2_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_118_91_68_77_80_83_87_35_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_82_129_118_123_113_133_108_48_101_113_139_130_129_132_165_95_1_2_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_135_662_1297_1432_1440_4751_13230_22177_32323_34799_41100_46685_58774_59437_69567_81726_80747_75799_74733_88628_84850_89655_109462_135618_136564_133208_145938_158616_168410_208879_204947_201364_190233_196266_200124_206409_243715_250622_265744_260894_244798_239410_240191_260139_247344_206977_169004_145824_136192_150706_160479_128497_119261_106584_100573_93016_107961_119260_93702_88195_86827_81441_74764_88652_96175_76022_67586_59753_56561_54529_53286_67802_68602_67325_57627_54927_52056_65034_62727_54087_44499_45156_40183_37716_48589_39104_30370_27912_26785_23787_23287_26138_26188_22290_22202_21258_18525_18232_19804_19460_16549_16220_15445_14226_13928_15622_16053_13695_12892_14068_15777_15209_16831_18176_21988_25369_24938_25641_25473_18236_17409_20930_22212_22953_23105_22374_17040_16295_17967_18280_17878_17834_17268_10928_12270_15508_17233_18672_17934_17836_13529_13653_15276_15804_16583_16333_15904_11905_12267_14063_14174_14734_14974_15314_10445_9816_11728_12148_12212_12514_12461_8305_8597_11439_11852_12408_12562_13025_9677_9806_14233
arwiki,2018,كريستيانو_رونالدو,2237900,Portuguese association football player,لاعب كرة قدم برتغالي,Portugiesischer Association Football Spieler,futbolista portugués,footballeur portugais,португальский футболист,葡萄牙足協足球運動員,File:Cristiano_Ronaldo_2018.jpg,https://commons.wikimedia.org/wiki/File:Cristiano_Ronaldo_2018.jpg,https://upload.wikimedia.org/wikipedia/commons/8/8c/Cristiano_Ronaldo_2018.jpg,Анна Нэсси,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,3086_3291_3083_3137_3409_3350_5009_4044_3693_3505_3599_3481_4736_4382_4658_4881_5190_3914_4154_3920_5383_5055_4862_4429_4046_4397_5313_4542_3873_3703_3496_3687_3700_4296_4575_9194_4998_3918_3835_3637_5078_5006_4040_4130_6878_7048_5608_5126_5558_4792_5907_5894_4462_4225_8498_7088_4844_4546_3744_5393_4906_7229_19417_13897_10188_9971_6715_6243_8479_6327_5360_4686_8028_8569_6081_5212_8136_8389_6255_5229_5335_10751_10304_7211_6270_5147_4309_4191_4473_4902_4488_4231_8984_11354_6586_5695_5894_5869_4731_4983_7428_6837_5844_5533_5034_4431_4075_4151_3891_3861_5496_6682_5320_5732_7790_5333_5109_4440_4764_4873_6259_5460_4292_4686_5597_9242_7842_5728_5864_5104_5348_5167_5937_4921_4320_3724_3566_4065_4615_5842_4911_5077_5297_5177_6131_14340_18048_11828_9250_8496_8174_7200_6186_5891_5275_5292_5234_6023_6431_5444_5211_5460_5246_4745_4714_18767_22004_15336_11632_12307_24134_19358_16712_12366_11752_13624_11752_10335_8308_8315_24633_17418_10694_10995_12142_22436_23708_16470_11635_10135_34020_32148_17738_13815_11127_10528_13184_12657_9441_7135_6859_6647_6101_5603_6245_6250_5845_5411_5292_4996_4739_5017_4610_4498_4662_4664_4311_4325_3977_4197_4175_3986_4423_6157_7254_5005_5954_4764_4320_5983_5489_4493_3896_4414_4229_4070_4667_4347_3658_3696_3526_4512_4402_4457_3948_4413_3974_3486_3794_3421_3098_3200_3427_3419_2939_2772_3380_4065_7487_6498_6488_7145_5577_4441_4531_4594_5258_4813_4451_3425_3482_5280_3596_3291_4043_4688_4246_4309_5022_5005_3920_3989_3577_3375_3987_3785_3379_3211_3866_3417_3157_3310_5079_4684_4315_6062_4692_3676_3551_5036_7006_5691_4929_5219_4193_4319_6186_7102_5003_4854_6433_4670_4463_3975_5064_4937_5029_4482_4422_6209_4942_3766_3449_4689_3424_3096_3490_4711_3943_5145_4894_4907_4342_3856_4920_4215_4399_4548_3827_3322_5168_4544_4436_4378_4411_4489_3545_3554_4441_5231_7044_4996_4331_3260_3352_5778_3825_3734_3921_3388_3477_3403_4642_3644_3241
